from	to
M6PR	VTI1A
M6PR	TGOLN2
M6PR	GGA1
M6PR	IGF2R
M6PR	PLIN3
FKBP4	STIP1
FKBP4	FKBP5
FKBP4	HSPA2
FKBP4	DNAJB1
FKBP4	CDC37
FKBP4	PGR
FKBP4	AHSA1
FKBP4	DCTN2
FKBP4	HSPA1A
FKBP4	ESR1
SEMA3F	PLXNA4
SEMA3F	NRCAM
SEMA3F	NRP1
SEMA3F	NRP2
USP28	TP53BP1
USP28	CHEK2
USP28	CLSPN
USP28	USP8
USP28	TP53
HSPB6	HSPB1
HSPB6	DNAJB1
HSPB6	BAG3
SKAP2	SIRPA
SKAP2	FYB1
SKAP2	ITGA5
SKAP2	ITGB1
SKAP2	LYN
CX3CL1	CCL13
CX3CL1	CCL25
CX3CL1	CCL11
CX3CL1	CXCL12
CX3CL1	CXCL8
CX3CL1	IL10
CX3CL1	CCL19
CX3CL1	CSF2
CX3CL1	IFNG
CX3CL1	CCL21
CX3CL1	CXCL1
CX3CL1	CCL5
CX3CL1	CSF3
CX3CL1	CD8A
CX3CL1	CXCL13
CX3CL1	CCL26
CX3CL1	CCL17
CX3CL1	CXCL3
CX3CL1	FGF2
CX3CL1	TGFA
CX3CL1	CCL20
CX3CL1	FLT3LG
CX3CL1	CSF1R
CX3CL1	CCL27
CX3CL1	CD40LG
CX3CL1	CXCL5
CX3CL1	IL1B
CX3CL1	TNF
CX3CL1	IL7
CX3CL1	CD200R1
CX3CL1	IL1A
CX3CL1	CCL7
CX3CL1	CD200
CX3CL1	IL2
CX3CL1	ICAM1
CX3CL1	PF4
CX3CL1	CCL3
CX3CL1	CCL2
CX3CL1	ITGAM
CX3CL1	CXCL6
CX3CL1	CCL4
CX3CL1	CXCL11
CX3CL1	IL4
CX3CL1	IL6
CX3CL1	CXCL9
CX3CL1	EGF
CX3CL1	CXCL16
CX3CL1	CXCL10
CX3CL1	CCL22
PGLYRP1	MMP8
CD74	NOP56
CD74	CTSS
CD74	EIF5
CD74	LGMN
CD74	ITGB2
CD74	MIF
CD74	RPS10
CD74	MRPS16
CD74	SIL1
CD74	WDR46
CD74	POLR2F
CD74	CTSB
CD74	EFTUD2
CD74	SNU13
CD74	CCL5
CD74	APP
CD74	TPT1
CD74	EIF5A
CD74	CTSL
CD74	MRPL24
CD74	HLA-E
CD74	B2M
CD74	POLR3A
CD74	EIF2S2
CD74	FLT3LG
CD74	MRPL58
CD74	HLA-A
CD74	EIF1AX
CD74	HLA-DRA
CD74	RPL14
CD74	MRPL46
CD74	DDT
CPA1	CPA2
CPA1	PPY
CPA1	CTRC
CPA1	CELA2A
CPA1	CLPS
CPA1	PNLIP
CPA1	PNLIPRP1
CPA1	CTRB1
CPA1	CPB1
CPA1	CELA3A
CPA1	CTRL
CD4	FAS
CD4	IL21R
