reference	method	K	seed	observed	hyper_expected	hyper_p	degree_expected	degree_p	top_k_median_degree
ying_ageing_causal_genes	GAT	100	0	4	1.213101496158512	0.030744620999998834	1.176	0.0317	7.0
ying_ageing_causal_genes	GAT	100	1	5	1.213101496158512	0.006226662510589245	1.3924	0.0125	5.0
ying_ageing_causal_genes	GAT	100	7	4	1.213101496158512	0.030744620999998834	1.3958	0.053	5.0
ying_ageing_causal_genes	GAT	100	42	4	1.213101496158512	0.030744620999998834	1.2763	0.0388	6.0
ying_ageing_causal_genes	GAT	100	123	4	1.213101496158512	0.030744620999998834	1.3555	0.0442	5.0
ying_ageing_causal_genes	GAT	150	0	5	1.8196522442377678	0.03192632161507858	1.7757	0.0344	7.0
ying_ageing_causal_genes	GAT	150	1	6	1.8196522442377678	0.007940050936763322	1.9653	0.0149	6.0
ying_ageing_causal_genes	GAT	150	7	6	1.8196522442377678	0.007940050936763322	2.0672	0.0177	5.0
ying_ageing_causal_genes	GAT	150	42	5	1.8196522442377678	0.03192632161507858	1.8981	0.0441	6.0
ying_ageing_causal_genes	GAT	150	123	5	1.8196522442377678	0.03192632161507858	1.8263	0.0373	7.0
ying_ageing_causal_genes	GAT	200	0	6	2.426202992317024	0.029812770855620188	2.249	0.0228	7.5
ying_ageing_causal_genes	GAT	200	1	6	2.426202992317024	0.029812770855620188	2.4456	0.0392	7.0
ying_ageing_causal_genes	GAT	200	7	6	2.426202992317024	0.029812770855620188	2.6131	0.0483	5.0
ying_ageing_causal_genes	GAT	200	42	6	2.426202992317024	0.029812770855620188	2.4675	0.0357	6.0
ying_ageing_causal_genes	GAT	200	123	6	2.426202992317024	0.029812770855620188	2.3752	0.0326	7.0
ying_ageing_causal_genes	MLP	100	0	4	1.213101496158512	0.030744620999998834	1.1515	0.0308	6.0
ying_ageing_causal_genes	MLP	100	1	4	1.213101496158512	0.030744620999998834	1.177	0.0331	6.0
ying_ageing_causal_genes	MLP	100	7	4	1.213101496158512	0.030744620999998834	1.1945	0.0337	6.0
ying_ageing_causal_genes	MLP	100	42	4	1.213101496158512	0.030744620999998834	1.167	0.03	6.0
ying_ageing_causal_genes	MLP	100	123	4	1.213101496158512	0.030744620999998834	1.1806	0.0303	6.0
ying_ageing_causal_genes	MLP	150	0	4	1.8196522442377678	0.104529654095016	1.7899	0.105	7.0
ying_ageing_causal_genes	MLP	150	1	4	1.8196522442377678	0.104529654095016	1.774	0.1003	7.0
ying_ageing_causal_genes	MLP	150	7	4	1.8196522442377678	0.104529654095016	1.7895	0.1058	7.0
ying_ageing_causal_genes	MLP	150	42	4	1.8196522442377678	0.104529654095016	1.7769	0.1022	7.0
ying_ageing_causal_genes	MLP	150	123	4	1.8196522442377678	0.104529654095016	1.7567	0.1021	7.0
ying_ageing_causal_genes	MLP	200	0	4	2.426202992317024	0.220557796129682	2.4846	0.2377	6.0
ying_ageing_causal_genes	MLP	200	1	4	2.426202992317024	0.220557796129682	2.4645	0.2351	6.0
ying_ageing_causal_genes	MLP	200	7	4	2.426202992317024	0.220557796129682	2.4309	0.2212	6.0
ying_ageing_causal_genes	MLP	200	42	4	2.426202992317024	0.220557796129682	2.4519	0.2258	6.0
ying_ageing_causal_genes	MLP	200	123	4	2.426202992317024	0.220557796129682	2.478	0.2396	6.0
motrpac_exercise_genes	GAT	100	0	42	33.60291144359078	0.04556877935699627	33.2247	0.041	7.0
motrpac_exercise_genes	GAT	100	1	44	33.60291144359078	0.017523851248027137	31.9408	0.0076	5.0
motrpac_exercise_genes	GAT	100	7	45	33.60291144359078	0.010272549091888824	32.2479	0.0054	5.0
motrpac_exercise_genes	GAT	100	42	44	33.60291144359078	0.017523851248027137	32.7709	0.0121	6.0
motrpac_exercise_genes	GAT	100	123	41	33.60291144359078	0.06951786177701605	32.4518	0.0409	5.0
motrpac_exercise_genes	GAT	150	0	56	50.40436716538617	0.18132817581518243	50.256	0.1829	7.0
motrpac_exercise_genes	GAT	150	1	68	50.40436716538617	0.0013787453495789717	49.7664	0.0008	6.0
motrpac_exercise_genes	GAT	150	7	61	50.40436716538617	0.037202659239212725	49.0635	0.0218	5.0
motrpac_exercise_genes	GAT	150	42	61	50.40436716538617	0.037202659239212725	49.6718	0.0303	6.0
motrpac_exercise_genes	GAT	150	123	59	50.40436716538617	0.07553776525650677	50.1631	0.0734	7.0
motrpac_exercise_genes	GAT	200	0	76	67.20582288718155	0.09839016727250985	67.8824	0.1213	7.5
motrpac_exercise_genes	GAT	200	1	87	67.20582288718155	0.0015088921522209758	66.9379	0.0018	7.0
motrpac_exercise_genes	GAT	200	7	81	67.20582288718155	0.019917507261498046	66.3311	0.0168	5.0
motrpac_exercise_genes	GAT	200	42	74	67.20582288718155	0.16277225748213053	66.9576	0.1653	6.0
motrpac_exercise_genes	GAT	200	123	72	67.20582288718155	0.250045381530467	67.9116	0.2893	7.0
motrpac_exercise_genes	MLP	100	0	39	33.60291144359078	0.14516699581279285	33.3376	0.1388	6.0
motrpac_exercise_genes	MLP	100	1	39	33.60291144359078	0.14516699581279285	33.3697	0.1381	6.0
motrpac_exercise_genes	MLP	100	7	37	33.60291144359078	0.2635379964300514	33.4969	0.2588	6.0
motrpac_exercise_genes	MLP	100	42	38	33.60291144359078	0.19896534758612522	33.1909	0.1775	6.0
motrpac_exercise_genes	MLP	100	123	38	33.60291144359078	0.19896534758612522	33.2786	0.1812	6.0
motrpac_exercise_genes	MLP	150	0	53	50.40436716538617	0.35160965657997495	50.2249	0.3388	7.0
motrpac_exercise_genes	MLP	150	1	52	50.40436716538617	0.41934543788242573	50.3575	0.4187	7.0
motrpac_exercise_genes	MLP	150	7	53	50.40436716538617	0.35160965657997495	50.1719	0.3392	7.0
motrpac_exercise_genes	MLP	150	42	53	50.40436716538617	0.35160965657997495	50.0386	0.3283	7.0
motrpac_exercise_genes	MLP	150	123	54	50.40436716538617	0.2884590793534778	50.2371	0.2814	7.0
motrpac_exercise_genes	MLP	200	0	69	67.20582288718155	0.417270108503462	66.3007	0.3702	6.0
motrpac_exercise_genes	MLP	200	1	70	67.20582288718155	0.3577958337046087	66.3642	0.3146	6.0
motrpac_exercise_genes	MLP	200	7	71	67.20582288718155	0.30170323110662	66.523	0.2736	6.0
motrpac_exercise_genes	MLP	200	42	69	67.20582288718155	0.417270108503462	66.1683	0.356	6.0
motrpac_exercise_genes	MLP	200	123	70	67.20582288718155	0.3577958337046087	65.8389	0.2862	6.0
